Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2018-06-01,0.6097051276,0.6164049402,0.6184035676,0.6072815424
XRP,2018-06-02,0.6176037297,0.6148718889,0.6211693448,0.6086814731
XRP,2018-06-03,0.6430426269,0.6241886173,0.6509205486,0.6185025397
XRP,2018-06-04,0.6676342593,0.6442912034,0.6770689598,0.6407687598
XRP,2018-06-05,0.6696800162,0.6905620801,0.7063259965,0.6430542762
XRP,2018-06-06,0.6790711985,0.6696745418,0.6835666198,0.6444306093
XRP,2018-06-07,0.673526214,0.6744959492,0.68137155,0.6552085988
XRP,2018-06-08,0.67726776,0.673526214,0.6870242685,0.67056924
XRP,2018-06-09,0.673247907,0.67726776,0.67913,0.65845888
XRP,2018-06-10,0.65783,0.673247907,0.6794077142,0.65604
XRP,2018-06-11,0.582179178,0.65783,0.6579599057,0.554311695
XRP,2018-06-12,0.5926919277,0.5705074767,0.5933217173,0.5693396084
XRP,2018-06-13,0.561773823,0.6037582739,0.6041763445,0.5536416479
XRP,2018-06-14,0.5344486086,0.5617705566,0.5654327045,0.5115767829
XRP,2018-06-15,0.5561817544,0.5349356415,0.5670625515,0.5254869097
XRP,2018-06-16,0.5332042768,0.559208205,0.5596073409,0.5326239282
XRP,2018-06-17,0.5377814649,0.5332043182,0.5391565473,0.5218418305
XRP,2018-06-18,0.5300878451,0.5344218123,0.5403736032,0.5253309333
XRP,2018-06-19,0.5371437167,0.5274488645,0.5464130733,0.5109068291
XRP,2018-06-20,0.5447170224,0.5364381369,0.559205662,0.5335751452
XRP,2018-06-21,0.5495244048,0.5448098033,0.5530195083,0.5316426284
XRP,2018-06-22,0.5272946308,0.5530421748,0.554876354,0.5219648418
XRP,2018-06-23,0.5364781921,0.5272955687,0.5484146701,0.5264187862
XRP,2018-06-24,0.4999037789,0.5371745069,0.5381966445,0.4866382793
XRP,2018-06-25,0.4997491308,0.5007948669,0.5096833266,0.4564796424
XRP,2018-06-26,0.4810700036,0.5006338421,0.5050897518,0.4558200995
XRP,2018-06-27,0.4660821396,0.4810463016,0.4832030825,0.4657281527
XRP,2018-06-28,0.4722436999,0.4670371115,0.4734973208,0.4513490806
XRP,2018-06-29,0.4544699995,0.4721538092,0.4764700472,0.4486155855
XRP,2018-06-30,0.4585183736,0.4545359911,0.4592198891,0.4286508708
XRP,2018-07-01,0.4613508169,0.4582770074,0.4830430224,0.4543980341
XRP,2018-07-02,0.4646968181,0.469305059,0.4711700556,0.4533737132
XRP,2018-07-03,0.489888848,0.4647795001,0.4928749692,0.4554033501
XRP,2018-07-04,0.4810608238,0.4887347565,0.5164377254,0.4804277483
XRP,2018-07-05,0.4896674778,0.4846263276,0.5055503846,0.4758783537
XRP,2018-07-06,0.4797048012,0.4896216255,0.5011588528,0.4718906288
XRP,2018-07-07,0.4759396395,0.4770165,0.482705048,0.458898374
XRP,2018-07-08,0.475077547,0.4777754123,0.4781086126,0.4676685196
XRP,2018-07-09,0.4872424147,0.4751488171,0.4885919174,0.4739247306
XRP,2018-07-10,0.4812155501,0.4872418709,0.4872644995,0.4740613518
XRP,2018-07-11,0.4511186419,0.4811529588,0.4817543605,0.4466669326
XRP,2018-07-12,0.4518252298,0.4473264641,0.4553282702,0.4441450785
XRP,2018-07-13,0.4317100452,0.452480716,0.452561344,0.4311441285
XRP,2018-07-14,0.437839705,0.4375647276,0.4456790444,0.4305483618
XRP,2018-07-15,0.4391700692,0.4380799711,0.4437258408,0.4333186785
XRP,2018-07-16,0.447214966,0.439165136,0.4500014905,0.436629439
XRP,2018-07-17,0.473014218,0.4468526749,0.4734449386,0.4430531918
XRP,2018-07-18,0.5076289537,0.4804632481,0.5181229608,0.4679282517
XRP,2018-07-19,0.4830033977,0.5076413354,0.5205898748,0.4757748601
XRP,2018-07-20,0.477929059,0.4830110066,0.4933053385,0.4723282762
XRP,2018-07-21,0.4455894928,0.4778546955,0.4783369573,0.4334506641
XRP,2018-07-22,0.4551458158,0.4455585479,0.4588794159,0.4363323479
XRP,2018-07-23,0.4511947697,0.4551341192,0.4628679841,0.4478096442
XRP,2018-07-24,0.444969405,0.4492193399,0.4625733049,0.4436189223
XRP,2018-07-25,0.4600030669,0.4449926445,0.4682345466,0.4391895895
XRP,2018-07-26,0.4635973339,0.4595557538,0.4676632711,0.4522305657
XRP,2018-07-27,0.4502432479,0.4635622762,0.4684329859,0.4496148381
XRP,2018-07-28,0.4581589854,0.4499744547,0.4603785003,0.4449824153
XRP,2018-07-29,0.4537147292,0.4538451162,0.4563134151,0.4487775968
XRP,2018-07-30,0.4530527989,0.4537342902,0.458317978,0.4505266853
XRP,2018-07-31,0.4467041269,0.4537308386,0.4563555827,0.4365882299
XRP,2018-08-01,0.4341692153,0.4466905325,0.4475875704,0.4289895374
XRP,2018-08-02,0.4465733926,0.4363370829,0.4639297138,0.4285865142
XRP,2018-08-03,0.4337625286,0.4465736481,0.4502263357,0.4319547454
XRP,2018-08-04,0.4434342037,0.4322409623,0.4478539698,0.4280175435
XRP,2018-08-05,0.4321083417,0.4434539093,0.4456919426,0.4307175332
XRP,2018-08-06,0.4352688768,0.4325538224,0.4382672126,0.42997311
XRP,2018-08-07,0.4096613911,0.4352694098,0.4385647057,0.4078416421
XRP,2018-08-08,0.3827959913,0.4096701481,0.4188638495,0.3794318051
XRP,2018-08-09,0.335687544,0.3827492439,0.3827492439,0.3296226755
XRP,2018-08-10,0.3523260967,0.3353442629,0.360804834,0.3329156393
XRP,2018-08-11,0.3211164866,0.3520494582,0.3523820908,0.319135542
XRP,2018-08-12,0.3156083841,0.3179368867,0.3182249787,0.2973321344
XRP,2018-08-13,0.3065194294,0.3156213573,0.3162568461,0.3027453653
XRP,2018-08-14,0.2869345177,0.3065196697,0.3145523603,0.2832137392
XRP,2018-08-15,0.2752573228,0.2869029245,0.2897939448,0.261751996
XRP,2018-08-16,0.2860392146,0.2826062538,0.3063017568,0.282540675
XRP,2018-08-17,0.2925503574,0.2860392141,0.3029750612,0.2781336257
XRP,2018-08-18,0.3597686857,0.2926704721,0.3720438076,0.2905400223
XRP,2018-08-19,0.3281470052,0.3562607239,0.3678571574,0.3166231628
XRP,2018-08-20,0.343467268,0.3311719132,0.3502239021,0.3215001904
XRP,2018-08-21,0.3255984508,0.3434669288,0.3471499825,0.3238441772
XRP,2018-08-22,0.3351413455,0.3179334415,0.3385065988,0.3162424823
XRP,2018-08-23,0.3189323388,0.3351441563,0.3545373695,0.3142772266
XRP,2018-08-24,0.3265351755,0.3202437984,0.3291760376,0.3168205022
XRP,2018-08-25,0.3268607643,0.3266375605,0.3285654407,0.3170761378
XRP,2018-08-26,0.3273819474,0.3269320203,0.3317956899,0.3230559249
XRP,2018-08-27,0.3228158373,0.3273860498,0.3287361183,0.3194759271
XRP,2018-08-28,0.3324990728,0.3233157735,0.3325216246,0.321956002
XRP,2018-08-29,0.3518620414,0.3320941307,0.3560746044,0.3320941307
XRP,2018-08-30,0.3467030311,0.3503965436,0.354545447,0.3391096197
XRP,2018-08-31,0.3343555055,0.3444809307,0.3463458015,0.3258747766
XRP,2018-09-01,0.3353712817,0.334352533,0.3406153271,0.3284000796
XRP,2018-09-02,0.3467652613,0.3353724192,0.3532249453,0.3350629401
XRP,2018-09-03,0.340627015,0.3467532322,0.348718351,0.3364727073
XRP,2018-09-04,0.3360021353,0.3405562691,0.3434322296,0.3339373165
XRP,2018-09-05,0.3327561833,0.3350732657,0.3411956778,0.3297327189
XRP,2018-09-06,0.2893408563,0.3314646853,0.334075417,0.2854356848
XRP,2018-09-07,0.3028337757,0.289340933,0.3056601973,0.2716702009
XRP,2018-09-08,0.2903844338,0.3024130036,0.3048660773,0.2826649313
XRP,2018-09-09,0.2759579941,0.290349303,0.2942624304,0.270494643
XRP,2018-09-10,0.2772450151,0.2779167729,0.2914204093,0.2724149506
XRP,2018-09-11,0.2671116049,0.2772649584,0.2830998877,0.2625142938
XRP,2018-09-12,0.2656787439,0.2672188916,0.2760589751,0.2561978743
XRP,2018-09-13,0.2700368093,0.2655702726,0.2723487897,0.2569863293
XRP,2018-09-14,0.2759261604,0.2693022587,0.2803705348,0.2671287358
XRP,2018-09-15,0.27633002,0.2759490396,0.279869167,0.2727425044
XRP,2018-09-16,0.2752105291,0.2746106572,0.2773263089,0.2742111704
XRP,2018-09-17,0.2761945783,0.2752937484,0.2765233722,0.2731203732
XRP,2018-09-18,0.2720173416,0.2761945042,0.2772863125,0.2699963385
XRP,2018-09-19,0.3134501256,0.2720160347,0.3201193788,0.2712731889
XRP,2018-09-20,0.3098905287,0.3097723076,0.3230811971,0.3013079711
XRP,2018-09-21,0.434216599,0.326383356,0.491039535,0.3059575991
XRP,2018-09-22,0.5060801555,0.4341998665,0.7371620253,0.4192557368
