Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
TRX,2018-06-01,0.060368222,0.0609264233,0.06156842,0.0599052797
TRX,2018-06-02,0.05879612,0.0605624629,0.0618786836,0.0560089893
TRX,2018-06-03,0.0610414963,0.0585138668,0.0634726449,0.0574987771
TRX,2018-06-04,0.0621256375,0.0611214366,0.0635871032,0.0603510312
TRX,2018-06-05,0.0595592948,0.0621135353,0.0625627169,0.0578478296
TRX,2018-06-06,0.0606142552,0.0595592948,0.0611829998,0.0568653233
TRX,2018-06-07,0.0591196828,0.060316452,0.0607130516,0.0579275604
TRX,2018-06-08,0.05862892,0.0590475747,0.06029556,0.058103872
TRX,2018-06-09,0.0574405494,0.0585591666,0.058766841,0.0564236596
TRX,2018-06-10,0.056853654,0.0574405494,0.059458,0.0568372636
TRX,2018-06-11,0.0471890607,0.056853654,0.0568977519,0.0448899
TRX,2018-06-12,0.0481228179,0.0455994844,0.0481978861,0.0451545797
TRX,2018-06-13,0.0430471953,0.0485230649,0.0488595771,0.0430206333
TRX,2018-06-14,0.041861891,0.0430466078,0.044327631,0.0382557307
TRX,2018-06-15,0.044900636,0.0410789639,0.0458071961,0.0401322657
TRX,2018-06-16,0.0421881251,0.0452218501,0.0460501189,0.0421154558
TRX,2018-06-17,0.0435823542,0.0421881578,0.0436111112,0.0413483412
TRX,2018-06-18,0.0427550436,0.0430437452,0.0435682057,0.0423658489
TRX,2018-06-19,0.0450960419,0.0424235511,0.0455936092,0.0412020311
TRX,2018-06-20,0.0485769342,0.0451415879,0.0516642883,0.0445764436
TRX,2018-06-21,0.0481294819,0.0495209703,0.0495214126,0.0444077519
TRX,2018-06-22,0.0485721792,0.0487089602,0.0499568453,0.0469726651
TRX,2018-06-23,0.0433613588,0.0485560332,0.0488468727,0.0415095805
TRX,2018-06-24,0.0442896555,0.0429641148,0.0449620071,0.0421188835
TRX,2018-06-25,0.042002485,0.0443235139,0.0443469267,0.0382313136
TRX,2018-06-26,0.0419755914,0.0419745796,0.0429768487,0.0409808223
TRX,2018-06-27,0.0389616518,0.0422358387,0.0424496242,0.0387812906
TRX,2018-06-28,0.0391249778,0.0392122237,0.0400296201,0.0374977726
TRX,2018-06-29,0.0371461207,0.0391526665,0.0397817581,0.0368641913
TRX,2018-06-30,0.0373501257,0.0372656647,0.0373881328,0.0342878679
TRX,2018-07-01,0.0380981058,0.0373415559,0.0403149007,0.0365856432
TRX,2018-07-02,0.0378955881,0.0380195184,0.0387731449,0.036705978
TRX,2018-07-03,0.040051513,0.0378786887,0.0405468469,0.0367717842
TRX,2018-07-04,0.0389010664,0.0398045094,0.0411228605,0.0384643918
TRX,2018-07-05,0.0392370054,0.0388034802,0.0402522449,0.0373527811
TRX,2018-07-06,0.0376128055,0.0392377616,0.0399722602,0.0370999833
TRX,2018-07-07,0.0357531926,0.0370418265,0.0380920743,0.034317999
TRX,2018-07-08,0.0365624435,0.0368239,0.0373552897,0.0360251497
TRX,2018-07-09,0.0376893081,0.0365620407,0.0384929125,0.0363865234
TRX,2018-07-10,0.0361087559,0.0376893081,0.037705597,0.0360334291
TRX,2018-07-11,0.0346660387,0.0361086997,0.0364202888,0.0328929783
TRX,2018-07-12,0.0334562551,0.0335334327,0.0348386374,0.0327843591
TRX,2018-07-13,0.0316398847,0.033452995,0.0337288376,0.0314919755
TRX,2018-07-14,0.033249715,0.0324098892,0.034666981,0.0322634367
TRX,2018-07-15,0.0334011341,0.0336494517,0.0339203398,0.0324994147
TRX,2018-07-16,0.0345935323,0.0334028087,0.0351195655,0.0331362893
TRX,2018-07-17,0.0368622522,0.0344666487,0.0372550829,0.0340857633
TRX,2018-07-18,0.0398682434,0.0368623383,0.0406477788,0.0359674688
TRX,2018-07-19,0.0397862713,0.0398695068,0.0432644357,0.0389453116
TRX,2018-07-20,0.0379691575,0.0397861152,0.0398841821,0.0373302719
TRX,2018-07-21,0.035116719,0.0379692684,0.0381952933,0.0345408111
TRX,2018-07-22,0.0359215836,0.0350960833,0.0364131464,0.0337827824
TRX,2018-07-23,0.0352820424,0.0359691179,0.0365178025,0.0349701641
TRX,2018-07-24,0.0342617676,0.0351321774,0.0363128344,0.0341376846
TRX,2018-07-25,0.0387756691,0.0342633598,0.0390891827,0.0329481746
TRX,2018-07-26,0.0376661433,0.038803606,0.0392349192,0.0361713583
TRX,2018-07-27,0.0358530903,0.0377135738,0.0386777819,0.0357718933
TRX,2018-07-28,0.0370247227,0.035868804,0.0371722208,0.0351385752
TRX,2018-07-29,0.0368016972,0.0364776357,0.0369306335,0.0357984593
TRX,2018-07-30,0.0399856799,0.0368024526,0.0407865027,0.0366988806
TRX,2018-07-31,0.0363518082,0.0391383733,0.0394482013,0.0351978255
TRX,2018-08-01,0.0338348905,0.0363517623,0.0365748864,0.0334863531
TRX,2018-08-02,0.0325892459,0.0337944038,0.034053688,0.0316048034
TRX,2018-08-03,0.0316009264,0.0325894249,0.0333427716,0.0308318833
TRX,2018-08-04,0.0306476278,0.0314470156,0.0317103469,0.0294588499
TRX,2018-08-05,0.0289993169,0.030645294,0.0312347392,0.0285541907
TRX,2018-08-06,0.0303790544,0.0289665822,0.030473234,0.0283319144
TRX,2018-08-07,0.0289800613,0.0303980081,0.0310571639,0.0288395647
TRX,2018-08-08,0.0278651499,0.0289799838,0.03000044,0.0275456358
TRX,2018-08-09,0.0241583365,0.0277872121,0.0278188095,0.0236749114
TRX,2018-08-10,0.0264613507,0.0241351202,0.026598558,0.0238000816
TRX,2018-08-11,0.0234198984,0.0264391761,0.026495023,0.0233913875
TRX,2018-08-12,0.0234779698,0.0234053221,0.0237254679,0.0218983843
TRX,2018-08-13,0.0227317231,0.0234783917,0.0236163959,0.0221302022
TRX,2018-08-14,0.0196169876,0.0227317231,0.0229639056,0.019148528
TRX,2018-08-15,0.0186651257,0.0196114034,0.0199177367,0.0163589688
TRX,2018-08-16,0.0198414332,0.0191529193,0.0209946167,0.0190797112
TRX,2018-08-17,0.0193987152,0.0198414332,0.0200859285,0.0190813539
TRX,2018-08-18,0.0234087794,0.019427302,0.0234397814,0.0193168987
TRX,2018-08-19,0.021362833,0.0233809211,0.0247551872,0.0204022505
TRX,2018-08-20,0.0223292966,0.0215854806,0.0228868755,0.0208471222
TRX,2018-08-21,0.0206635939,0.0223292712,0.0227436085,0.020650209
TRX,2018-08-22,0.0210107092,0.0204019953,0.0212747967,0.0199782549
TRX,2018-08-23,0.0194262566,0.021011116,0.0223918251,0.0191567821
TRX,2018-08-24,0.0206066493,0.0196044949,0.0208585809,0.0195187035
TRX,2018-08-25,0.0216509937,0.0208302876,0.021695032,0.020403916
TRX,2018-08-26,0.0223663019,0.0215587968,0.0226658304,0.0210224413
TRX,2018-08-27,0.0225470628,0.0223667144,0.0231152589,0.0211727055
TRX,2018-08-28,0.0242646716,0.0227144031,0.024312074,0.0223927565
TRX,2018-08-29,0.0267665451,0.0242565251,0.0276413712,0.0240602417
TRX,2018-08-30,0.0258224976,0.0267480991,0.0272201597,0.0245860859
TRX,2018-08-31,0.0245906662,0.0258224594,0.0259489855,0.0232793159
TRX,2018-09-01,0.0253525425,0.0245907004,0.0256916158,0.0243155689
TRX,2018-09-02,0.0266518211,0.0253650558,0.0272340435,0.025263164
TRX,2018-09-03,0.025470092,0.0266536961,0.026779342,0.0247362942
TRX,2018-09-04,0.0250084797,0.0254651542,0.0258865718,0.0244731126
TRX,2018-09-05,0.0252263932,0.0250555536,0.0258596453,0.0249242353
TRX,2018-09-06,0.0220465978,0.0252192272,0.025461043,0.0216413577
TRX,2018-09-07,0.0213207252,0.0220466108,0.0221758873,0.0202046847
TRX,2018-09-08,0.0205481392,0.021659025,0.0220382868,0.0202287161
TRX,2018-09-09,0.0191516688,0.0205475938,0.0208462082,0.0187384877
TRX,2018-09-10,0.0194113537,0.0192276535,0.0202900585,0.0188457929
TRX,2018-09-11,0.0192070653,0.0194105053,0.0202912611,0.0189124133
TRX,2018-09-12,0.0185474551,0.0192311689,0.0196686911,0.0178950566
TRX,2018-09-13,0.0182227468,0.0185652101,0.0187272462,0.0171842254
TRX,2018-09-14,0.0199920732,0.0182648931,0.0205980992,0.0182447689
TRX,2018-09-15,0.020069938,0.0199921068,0.0206693388,0.0191589353
TRX,2018-09-16,0.0198439587,0.0197231643,0.0204315816,0.0196813079
TRX,2018-09-17,0.0199716193,0.0198505087,0.0200988132,0.0192116504
TRX,2018-09-18,0.0184008549,0.0199720913,0.020260347,0.0182137074
TRX,2018-09-19,0.0194512558,0.018434227,0.0196573812,0.0183327288
TRX,2018-09-20,0.0197558266,0.0193421501,0.0202488942,0.0187971963
TRX,2018-09-21,0.0221973497,0.0196762412,0.0224012532,0.0196562828
TRX,2018-09-22,0.0231596262,0.0221973497,0.0261433161,0.0217549279
TRX,2018-09-23,0.0233919557,0.0231595307,0.023858043,0.022277217
TRX,2018-09-24,0.0237897527,0.0233925162,0.0246096364,0.0230106829
TRX,2018-09-25,0.0210969776,0.0237875099,0.0238178159,0.0208160867
TRX,2018-09-26,0.0204248094,0.0210969917,0.0214121285,0.0201984745
TRX,2018-09-27,0.0212402641,0.0204245083,0.0220567301,0.0203238406
TRX,2018-09-28,0.022559608,0.0212407132,0.0230151616,0.0206308922
TRX,2018-09-29,0.0214497421,0.0225610947,0.023082894,0.0211986514
TRX,2018-09-30,0.0220485949,0.0214474103,0.022270621,0.0211789363
TRX,2018-10-01,0.0222806112,0.0220508869,0.022736421,0.0217653805
TRX,2018-10-02,0.0221690054,0.0222804592,0.0223582401,0.0215874646
TRX,2018-10-03,0.0220940167,0.0219455195,0.0221752215,0.0219010821
TRX,2018-10-04,0.0214555452,0.0221153873,0.0221669041,0.0212363226
TRX,2018-10-05,0.0228377662,0.0214555452,0.0235855858,0.0214547999
TRX,2018-10-06,0.0232368928,0.022823476,0.0235422458,0.0223532554
TRX,2018-10-07,0.0237249106,0.0233796503,0.0244739782,0.0229123776
TRX,2018-10-08,0.0257119915,0.0237249026,0.0265174493,0.0236085389
TRX,2018-10-09,0.0268239786,0.0270647744,0.0284331189,0.0259503758
TRX,2018-10-10,0.0262663972,0.026803035,0.0269680573,0.0253140787
TRX,2018-10-11,0.0253223203,0.0262493095,0.0262978091,0.0247324599
TRX,2018-10-12,0.0217069413,0.025527756,0.0255477151,0.0215930485
TRX,2018-10-13,0.0231720177,0.0217068691,0.0239008595,0.0207538685
TRX,2018-10-14,0.02401391,0.0231711648,0.0242261188,0.0226651353
TRX,2018-10-15,0.0243659763,0.0238347362,0.0249565027,0.023821766
TRX,2018-10-16,0.0253601908,0.0238208052,0.0278428289,0.0229497176
TRX,2018-10-17,0.0247903579,0.0253603908,0.0259045331,0.0246154435
TRX,2018-10-18,0.0239149661,0.0247893516,0.0251870495,0.0236328927
TRX,2018-10-19,0.023700887,0.0239981091,0.0246806615,0.0234872622
TRX,2018-10-20,0.023888571,0.023700887,0.0240040899,0.023333754
TRX,2018-10-21,0.0238897953,0.0238394306,0.0241020498,0.0236582623
TRX,2018-10-22,0.0238328457,0.0238178349,0.0243404695,0.0237822435
TRX,2018-10-23,0.0235569092,0.0238328523,0.0239427247,0.023367687
TRX,2018-10-24,0.023182012,0.0235267254,0.0235992066,0.0227191358
TRX,2018-10-25,0.0232107408,0.0231834251,0.0235627005,0.0230700491
TRX,2018-10-26,0.0229594934,0.023196843,0.023220755,0.0227201411
TRX,2018-10-27,0.0232920857,0.0229582405,0.0235058306,0.0226230531
TRX,2018-10-28,0.0233004673,0.0233366671,0.0235115822,0.0230381717
TRX,2018-10-29,0.0218866569,0.0233332723,0.0234055867,0.021296681
TRX,2018-10-31,0.0220292367,0.0218925556,0.0221986163,0.0218126401
TRX,2018-11-01,0.0222245313,0.022019896,0.022546221,0.0212579763
TRX,2018-11-02,0.0226968228,0.0221993108,0.0229446402,0.0221991235
TRX,2018-11-03,0.0224169212,0.0226998249,0.0227128595,0.0222745006
TRX,2018-11-04,0.0232737782,0.0224159593,0.0237408066,0.0220691813
TRX,2018-11-05,0.0233242647,0.0232737104,0.0236891273,0.0230529095
TRX,2018-11-06,0.0243925976,0.0234308098,0.024601843,0.0233276641
TRX,2018-11-08,0.0231809439,0.0243923661,0.0248437109,0.0231076084
TRX,2018-11-09,0.0229064308,0.0231216653,0.0234099081,0.0227434781
TRX,2018-11-11,0.0225896985,0.0228973549,0.0231722031,0.0224904176
TRX,2018-11-13,0.0221968686,0.0225897503,0.0229351812,0.0220832185
TRX,2018-11-14,0.0194196997,0.0221965838,0.0223141271,0.0185598451
TRX,2018-11-15,0.0189606193,0.0194111936,0.0200337709,0.0175894568
TRX,2018-11-17,0.0186236431,0.0191899481,0.0196105038,0.0183450541
TRX,2018-11-19,0.0186551707,0.0186362796,0.0190679156,0.0184956839
TRX,2018-11-20,0.0135340474,0.0186486244,0.0188594399,0.0122372779
TRX,2018-11-21,0.0142408674,0.0136947841,0.0149119405,0.0132444619
TRX,2018-11-23,0.0141997742,0.0142348342,0.0147249882,0.0138765689
TRX,2018-11-24,0.0120970625,0.0142155048,0.0142178211,0.011833022
TRX,2018-11-25,0.0121478497,0.0122896023,0.0126114027,0.0106559371
TRX,2018-11-26,0.0112916915,0.0121483699,0.0127584602,0.010937817
TRX,2018-11-28,0.0118425193,0.0112919916,0.0119302573,0.0110628594
TRX,2018-11-29,0.0143687753,0.0118422881,0.0156780589,0.011694347
TRX,2018-11-30,0.0154897371,0.0143616826,0.0168667672,0.0141019476
TRX,2018-12-01,0.0141771688,0.0155886366,0.0156800366,0.0134003535
TRX,2018-12-02,0.0151306793,0.0141779337,0.0154655308,0.0137888155
TRX,2018-12-03,0.01485852,0.0151306782,0.0154044716,0.0145492035
TRX,2018-12-04,0.0142792424,0.0148580831,0.0152285673,0.0133138381
TRX,2018-12-05,0.0138811141,0.0142796201,0.0146353038,0.01380922
TRX,2018-12-06,0.013165467,0.0137883888,0.0143663004,0.0130272147
TRX,2018-12-08,0.0132389355,0.0131634114,0.0133450916,0.0119777943
TRX,2018-12-09,0.0134355946,0.0132411843,0.0138333223,0.0126446424
