date;close;tradecount
18/04/2021 00:00;136.649.000;2320
17/04/2021 00:00;136.802.000;658242
16/04/2021 00:00;140.989.000;1069902
15/04/2021 00:00;147.820.000;913680
14/04/2021 00:00;145.092.000;1840346
13/04/2021 00:00;141.246.000;1026705
12/04/2021 00:00;131.431.000;952211
11/04/2021 00:00;126.355.000;714512
10/04/2021 00:00;121.747.000;475261
09/04/2021 00:00;120.201.000;297343
08/04/2021 00:00;121.926.000;390054
07/04/2021 00:00;117.359.000;771894
06/04/2021 00:00;125.200.000;1195328
05/04/2021 00:00;121.180.000;555351
04/04/2021 00:00;118.206.000;384032
03/04/2021 00:00;116.238.000;558820
02/04/2021 00:00;118.998.000;492559
01/04/2021 00:00;118.377.000;366545
31/03/2021 00:00;119.191.000;493282
30/03/2021 00:00;121.189.000;406409
29/03/2021 00:00;120.239.000;330171
28/03/2021 00:00;118.983.000;287241
27/03/2021 00:00;117.678.000;435612
26/03/2021 00:00;121.420.000;1057420
25/03/2021 00:00;109.560.000;738550
24/03/2021 00:00;106.902.000;631067
23/03/2021 00:00;111.639.000;637868
22/03/2021 00:00;110.150.000;552717
21/03/2021 00:00;118.561.000;422247
20/03/2021 00:00;120.046.000;731665
19/03/2021 00:00;129.474.000;1278982
18/03/2021 00:00;122.925.000;2144826
17/03/2021 00:00;137.700.000;1700157
16/03/2021 00:00;124.924.000;1590786
15/03/2021 00:00;103.103.000;485996
14/03/2021 00:00;105.243.000;388068
13/03/2021 00:00;110.000.000;778819
12/03/2021 00:00;103.207.000;535644
11/03/2021 00:00;112.430.000;376289
10/03/2021 00:00;113.261.000;514521
09/03/2021 00:00;119.720.000;731610
08/03/2021 00:00;111.848.000;455437
07/03/2021 00:00;113.042.000;381768
06/03/2021 00:00;112.900.000;671557
05/03/2021 00:00;115.908.000;1132387
04/03/2021 00:00;111.239.000;882082
03/03/2021 00:00;121.311.000;529175
02/03/2021 00:00;122.280.000;993914
01/03/2021 00:00;129.627.000;1302837
28/02/2021 00:00;131.203.000;1836152
27/02/2021 00:00;131.402.000;2344043
26/02/2021 00:00;124.303.000;1842500
25/02/2021 00:00;107.691.000;1065150
24/02/2021 00:00;104.902.000;986749
23/02/2021 00:00;0.96197000;1748705
22/02/2021 00:00;109.703.000;1291551
21/02/2021 00:00;109.894.000;804446
20/02/2021 00:00;111.568.000;1562187
19/02/2021 00:00;0.92581000;534053
18/02/2021 00:00;0.91442000;645125
17/02/2021 00:00;0.89206000;571034
16/02/2021 00:00;0.87000000;559396
15/02/2021 00:00;0.86143000;1016723
14/02/2021 00:00;0.84364000;481065
13/02/2021 00:00;0.91299000;566194
12/02/2021 00:00;0.92426000;660663
11/02/2021 00:00;0.92796000;1176112
10/02/2021 00:00;0.93966000;1481690
09/02/2021 00:00;0.70562000;641568
08/02/2021 00:00;0.67638000;834316
07/02/2021 00:00;0.66109000;1258967
06/02/2021 00:00;0.63444000;1012355
05/02/2021 00:00;0.53917000;1006967
04/02/2021 00:00;0.43934000;356573
03/02/2021 00:00;0.44189000;382672
02/02/2021 00:00;0.42498000;959565
01/02/2021 00:00;0.40876000;424028
31/01/2021 00:00;0.34475000;322422
30/01/2021 00:00;0.36400000;329408
29/01/2021 00:00;0.34752000;438205
28/01/2021 00:00;0.34409000;309801
27/01/2021 00:00;0.31144000;235043
26/01/2021 00:00;0.34330000;202859
25/01/2021 00:00;0.34308000;222342
24/01/2021 00:00;0.35345000;234964
23/01/2021 00:00;0.34583000;240273
22/01/2021 00:00;0.34867000;465828
21/01/2021 00:00;0.30785000;404103
20/01/2021 00:00;0.37532000;346650
19/01/2021 00:00;0.36720000;370018
18/01/2021 00:00;0.37123000;345702
17/01/2021 00:00;0.38081000;738575
16/01/2021 00:00;0.35071000;551624
15/01/2021 00:00;0.30188000;383114
14/01/2021 00:00;0.31201000;292444
13/01/2021 00:00;0.31230000;296349
12/01/2021 00:00;0.28888000;422638
11/01/2021 00:00;0.27570000;534981
10/01/2021 00:00;0.30153000;409748
09/01/2021 00:00;0.33062000;364494
08/01/2021 00:00;0.30389000;531917
07/01/2021 00:00;0.29928000;654373
06/01/2021 00:00;0.33309000;893919
05/01/2021 00:00;0.25873000;614385
04/01/2021 00:00;0.22528000;548636
03/01/2021 00:00;0.20615000;403926
02/01/2021 00:00;0.17742000;231432
01/01/2021 00:00;0.17509000;178824
31/12/2020 00:00;0.18134000;171189
30/12/2020 00:00;0.18389000;281329
29/12/2020 00:00;0.19067000;483117
28/12/2020 00:00;0.17627000;278089
27/12/2020 00:00;0.15467000;241054
26/12/2020 00:00;0.15839000;192288
25/12/2020 00:00;0.15761000;196476
24/12/2020 00:00;0.15304000;232837
23/12/2020 00:00;0.13635000;262757
22/12/2020 00:00;0.15646000;188714
21/12/2020 00:00;0.15278000;159210
20/12/2020 00:00;0.16201000;140413
19/12/2020 00:00;0.16433000;138007
18/12/2020 00:00;0.16502000;145567
17/12/2020 00:00;0.16336000;233697
16/12/2020 00:00;0.16814000;173866
15/12/2020 00:00;0.15381000;106861
14/12/2020 00:00;0.15877000;100732
13/12/2020 00:00;0.15406000;123350
12/12/2020 00:00;0.14438000;91320
11/12/2020 00:00;0.13926000;96159
10/12/2020 00:00;0.14188000;97346
09/12/2020 00:00;0.14796000;167539
08/12/2020 00:00;0.14120000;136736
07/12/2020 00:00;0.15401000;64151
06/12/2020 00:00;0.15873000;116907
05/12/2020 00:00;0.15993000;134044
04/12/2020 00:00;0.14781000;181178
03/12/2020 00:00;0.16398000;139922
02/12/2020 00:00;0.15845000;114336
01/12/2020 00:00;0.15562000;289501
30/11/2020 00:00;0.17204000;229177
29/11/2020 00:00;0.16663000;240569
28/11/2020 00:00;0.16489000;312532
27/11/2020 00:00;0.14178000;212382
26/11/2020 00:00;0.13843000;413242
25/11/2020 00:00;0.15473000;335752
24/11/2020 00:00;0.16721000;515388
23/11/2020 00:00;0.15445000;399986
22/11/2020 00:00;0.14599000;448124
21/11/2020 00:00;0.13334000;265512
20/11/2020 00:00;0.11828000;127423
19/11/2020 00:00;0.10590000;66459
18/11/2020 00:00;0.10658000;109490
17/11/2020 00:00;0.10947000;133129
16/11/2020 00:00;0.10387000;71450
15/11/2020 00:00;0.10046000;60583
14/11/2020 00:00;0.10411000;67849
13/11/2020 00:00;0.10629000;78935
12/11/2020 00:00;0.10460000;72476
11/11/2020 00:00;0.10599000;83826
10/11/2020 00:00;0.10590000;92669
09/11/2020 00:00;0.10561000;91304
08/11/2020 00:00;0.10655000;81231
07/11/2020 00:00;0.10128000;163067
06/11/2020 00:00;0.10910000;129308
05/11/2020 00:00;0.09752000;72246
04/11/2020 00:00;0.09550000;64713
03/11/2020 00:00;0.09357000;60952
02/11/2020 00:00;0.09221000;56812
01/11/2020 00:00;0.09827000;33696
31/10/2020 00:00;0.09300000;39997
30/10/2020 00:00;0.09330000;59140
29/10/2020 00:00;0.09531000;53112
28/10/2020 00:00;0.09869000;61146
27/10/2020 00:00;0.10256000;44887
26/10/2020 00:00;0.10306000;47869
25/10/2020 00:00;0.10639000;27332
24/10/2020 00:00;0.10797000;33483
23/10/2020 00:00;0.10805000;55980
22/10/2020 00:00;0.11077000;63416
21/10/2020 00:00;0.10589000;67356
20/10/2020 00:00;0.10238000;78262
19/10/2020 00:00;0.10859000;54797
18/10/2020 00:00;0.10735000;28868
17/10/2020 00:00;0.10598000;36828
16/10/2020 00:00;0.10414000;57297
15/10/2020 00:00;0.10666000;52674
14/10/2020 00:00;0.10703000;76777
13/10/2020 00:00;0.10925000;95325
12/10/2020 00:00;0.10945000;116208
11/10/2020 00:00;0.10648000;71724
10/10/2020 00:00;0.10493000;113861
09/10/2020 00:00;0.10129000;68553
08/10/2020 00:00;0.09632000;55746
07/10/2020 00:00;0.09374000;37532
06/10/2020 00:00;0.09289000;56153
05/10/2020 00:00;0.09738000;43215
04/10/2020 00:00;0.09686000;38628
03/10/2020 00:00;0.09328000;35373
02/10/2020 00:00;0.09286000;80851
01/10/2020 00:00;0.09804000;75151
30/09/2020 00:00;0.10136000;62625
29/09/2020 00:00;0.10110000;70407
28/09/2020 00:00;0.10030000;98472
27/09/2020 00:00;0.10130000;92847
26/09/2020 00:00;0.09547000;75131
25/09/2020 00:00;0.09693000;150218
24/09/2020 00:00;0.08254000;72250
23/09/2020 00:00;0.07663000;51320
22/09/2020 00:00;0.08146000;50054
21/09/2020 00:00;0.07983000;91032
20/09/2020 00:00;0.08936000;37992
19/09/2020 00:00;0.09141000;30892
18/09/2020 00:00;0.09093000;47705
17/09/2020 00:00;0.09408000;54288
16/09/2020 00:00;0.09151000;62232
15/09/2020 00:00;0.09313000;53224
14/09/2020 00:00;0.09663000;57496
13/09/2020 00:00;0.09507000;63125
12/09/2020 00:00;0.09771000;45817
11/09/2020 00:00;0.09701000;53008
10/09/2020 00:00;0.09709000;76643
09/09/2020 00:00;0.09331000;56386
08/09/2020 00:00;0.09101000;99966
07/09/2020 00:00;0.09360000;89698
06/09/2020 00:00;0.09260000;102574
05/09/2020 00:00;0.09000000;126438
04/09/2020 00:00;0.10156000;148713
03/09/2020 00:00;0.09446000;140458
02/09/2020 00:00;0.11489000;106257
01/09/2020 00:00;0.12445000;94575
31/08/2020 00:00;0.12253000;110533
30/08/2020 00:00;0.11747000;59083
29/08/2020 00:00;0.11623000;60042
28/08/2020 00:00;0.10927000;65111
27/08/2020 00:00;0.10725000;95204
26/08/2020 00:00;0.11435000;76676
25/08/2020 00:00;0.11239000;116378
24/08/2020 00:00;0.12361000;47954
23/08/2020 00:00;0.12141000;46020
22/08/2020 00:00;0.12515000;62609
21/08/2020 00:00;0.12315000;88722
20/08/2020 00:00;0.13413000;69689
19/08/2020 00:00;0.12966000;101362
18/08/2020 00:00;0.13691000;81728
17/08/2020 00:00;0.14039000;108695
16/08/2020 00:00;0.13882000;74560
15/08/2020 00:00;0.13837000;88122
14/08/2020 00:00;0.13826000;78275
13/08/2020 00:00;0.13944000;102282
12/08/2020 00:00;0.13670000;117348
11/08/2020 00:00;0.13685000;89654
10/08/2020 00:00;0.14383000;79953
09/08/2020 00:00;0.14512000;111729
08/08/2020 00:00;0.14696000;84394
07/08/2020 00:00;0.13888000;87926
06/08/2020 00:00;0.14444000;73906
05/08/2020 00:00;0.14227000;68864
04/08/2020 00:00;0.14335000;109467
03/08/2020 00:00;0.13730000;70874
02/08/2020 00:00;0.13375000;165614
01/08/2020 00:00;0.14410000;116125
31/07/2020 00:00;0.13878000;69041
30/07/2020 00:00;0.14060000;84190
29/07/2020 00:00;0.13972000;136306
28/07/2020 00:00;0.14904000;187266
27/07/2020 00:00;0.13859000;242476
26/07/2020 00:00;0.14849000;223732
25/07/2020 00:00;0.14362000;193325
24/07/2020 00:00;0.12197000;47519
23/07/2020 00:00;0.12422000;56808
22/07/2020 00:00;0.12380000;47690
21/07/2020 00:00;0.12321000;73111
20/07/2020 00:00;0.11771000;69196
19/07/2020 00:00;0.12402000;45835
18/07/2020 00:00;0.12270000;74210
17/07/2020 00:00;0.12224000;76214
16/07/2020 00:00;0.12602000;162808
15/07/2020 00:00;0.13069000;98285
14/07/2020 00:00;0.13256000;165839
13/07/2020 00:00;0.12427000;196971
12/07/2020 00:00;0.12685000;111398
11/07/2020 00:00;0.12523000;123800
10/07/2020 00:00;0.11846000;192793
09/07/2020 00:00;0.12403000;219974
08/07/2020 00:00;0.12993000;394118
07/07/2020 00:00;0.11764000;186335
06/07/2020 00:00;0.10512000;118533
05/07/2020 00:00;0.09813000;100450
04/07/2020 00:00;0.10005000;103311
03/07/2020 00:00;0.09655000;137709
02/07/2020 00:00;0.09291000;155953
01/07/2020 00:00;0.09681000;109932
30/06/2020 00:00;0.08299000;42492
29/06/2020 00:00;0.08392000;61013
28/06/2020 00:00;0.08028000;41854
27/06/2020 00:00;0.07738000;49985
26/06/2020 00:00;0.08062000;41167
25/06/2020 00:00;0.08167000;52092
24/06/2020 00:00;0.08254000;88710
23/06/2020 00:00;0.08276000;42455
22/06/2020 00:00;0.08355000;50273
21/06/2020 00:00;0.07841000;34173
20/06/2020 00:00;0.07953000;35165
19/06/2020 00:00;0.07987000;59497
18/06/2020 00:00;0.08176000;64514
17/06/2020 00:00;0.08349000;92810
16/06/2020 00:00;0.07925000;68564
15/06/2020 00:00;0.07824000;155026
14/06/2020 00:00;0.07642000;39816
13/06/2020 00:00;0.07906000;49384
12/06/2020 00:00;0.07948000;96402
11/06/2020 00:00;0.07527000;138495
10/06/2020 00:00;0.08360000;121706
09/06/2020 00:00;0.08291000;70170
08/06/2020 00:00;0.08648000;63274
07/06/2020 00:00;0.08657000;130982
06/06/2020 00:00;0.08614000;78945
05/06/2020 00:00;0.08517000;116386
04/06/2020 00:00;0.08882000;173421
03/06/2020 00:00;0.08558000;143785
02/06/2020 00:00;0.07872000;146059
01/06/2020 00:00;0.08093000;221670
31/05/2020 00:00;0.07390000;321393
30/05/2020 00:00;0.07691000;170009
29/05/2020 00:00;0.06469000;95250
28/05/2020 00:00;0.06502000;119919
27/05/2020 00:00;0.05513000;41178
26/05/2020 00:00;0.05355000;29762
25/05/2020 00:00;0.05390000;49461
24/05/2020 00:00;0.05125000;38141
23/05/2020 00:00;0.05490000;34117
22/05/2020 00:00;0.05576000;52930
21/05/2020 00:00;0.05207000;57687
20/05/2020 00:00;0.05689000;46799
19/05/2020 00:00;0.05677000;40239
18/05/2020 00:00;0.05434000;52599
17/05/2020 00:00;0.05129000;23208
16/05/2020 00:00;0.05100000;24146
15/05/2020 00:00;0.05026000;41597
14/05/2020 00:00;0.05098000;38313
13/05/2020 00:00;0.05147000;44347
12/05/2020 00:00;0.05043000;51521
11/05/2020 00:00;0.04779000;78230
10/05/2020 00:00;0.04755000;84288
09/05/2020 00:00;0.05145000;33085
08/05/2020 00:00;0.05201000;47996
07/05/2020 00:00;0.05123000;47558
06/05/2020 00:00;0.04889000;43562
05/05/2020 00:00;0.04945000;43327
04/05/2020 00:00;0.04942000;73854
03/05/2020 00:00;0.04898000;50759
02/05/2020 00:00;0.05090000;51404
01/05/2020 00:00;0.05091000;50596
30/04/2020 00:00;0.04752000;101902
29/04/2020 00:00;0.05146000;82041
28/04/2020 00:00;0.04679000;49632
27/04/2020 00:00;0.04648000;71333
26/04/2020 00:00;0.04593000;65422
25/04/2020 00:00;0.04222000;31042
24/04/2020 00:00;0.04165000;85238
23/04/2020 00:00;0.04088000;68455
22/04/2020 00:00;0.03664000;19048
21/04/2020 00:00;0.03454000;21940
20/04/2020 00:00;0.03391000;40117
19/04/2020 00:00;0.03549000;26671
18/04/2020 00:00;0.03654000;26235
17/04/2020 00:00;0.03432000;17649
16/04/2020 00:00;0.03446000;43580
15/04/2020 00:00;0.03185000;21997
14/04/2020 00:00;0.03312000;18776
13/04/2020 00:00;0.03311000;31647
12/04/2020 00:00;0.03347000;20746
11/04/2020 00:00;0.03343000;22149
10/04/2020 00:00;0.03321000;39018
09/04/2020 00:00;0.03607000;21067
08/04/2020 00:00;0.03639000;26532
