date;close;tradecount
18/04/2021 00:00;51.382.940.000;4315
17/04/2021 00:00;51.468.610.000;1573732
16/04/2021 00:00;50.827.430.000;2268178
15/04/2021 00:00;54.188.240.000;1267361
14/04/2021 00:00;55.001.820.000;2098627
13/04/2021 00:00;55.164.420.000;2657936
12/04/2021 00:00;59.671.040.000;4170759
11/04/2021 00:00;52.592.750.000;1714867
10/04/2021 00:00;47.129.750.000;2198963
09/04/2021 00:00;45.399.370.000;1577251
08/04/2021 00:00;41.870.480.000;1572444
07/04/2021 00:00;37.555.380.000;2394276
06/04/2021 00:00;40.336.480.000;1849537
05/04/2021 00:00;36.802.630.000;1685071
04/04/2021 00:00;34.886.170.000;1194390
03/04/2021 00:00;32.194.970.000;1201098
02/04/2021 00:00;33.829.320.000;1583075
01/04/2021 00:00;33.479.910.000;1443003
31/03/2021 00:00;30.237.240.000;1513354
30/03/2021 00:00;31.129.620.000;1591484
29/03/2021 00:00;27.529.910.000;715362
28/03/2021 00:00;26.842.630.000;1043000
27/03/2021 00:00;26.922.340.000;897779
26/03/2021 00:00;25.521.050.000;866262
25/03/2021 00:00;23.394.660.000;1169645
24/03/2021 00:00;24.852.360.000;912867
23/03/2021 00:00;25.546.460.000;693711
22/03/2021 00:00;25.479.760.000;1023992
21/03/2021 00:00;26.465.130.000;595243
20/03/2021 00:00;26.430.230.000;696501
19/03/2021 00:00;26.293.500.000;757665
18/03/2021 00:00;26.148.160.000;1367757
17/03/2021 00:00;26.978.960.000;710698
16/03/2021 00:00;25.853.520.000;941686
15/03/2021 00:00;25.451.440.000;913171
14/03/2021 00:00;26.323.800.000;784354
13/03/2021 00:00;27.628.220.000;1080831
12/03/2021 00:00;26.322.010.000;1777265
11/03/2021 00:00;29.003.010.000;1782636
10/03/2021 00:00;27.844.990.000;1879085
09/03/2021 00:00;29.320.520.000;2185699
08/03/2021 00:00;24.055.090.000;828116
07/03/2021 00:00;24.011.000.000;830560
06/03/2021 00:00;22.638.140.000;746840
05/03/2021 00:00;22.547.140.000;979892
04/03/2021 00:00;22.963.690.000;926776
03/03/2021 00:00;24.057.010.000;1000546
02/03/2021 00:00;23.968.410.000;1328836
01/03/2021 00:00;25.496.370.000;1907462
28/02/2021 00:00;21.021.380.000;1183188
27/02/2021 00:00;22.538.530.000;1008973
26/02/2021 00:00;22.171.700.000;1741056
25/02/2021 00:00;23.491.460.000;1774378
24/02/2021 00:00;25.450.560.000;2798601
23/02/2021 00:00;23.136.460.000;3227858
22/02/2021 00:00;26.751.470.000;2806150
21/02/2021 00:00;29.525.970.000;2525329
20/02/2021 00:00;25.300.000.000;3476190
19/02/2021 00:00;33.311.100.000;4491728
18/02/2021 00:00;19.560.000.000;2106653
17/02/2021 00:00;16.532.330.000;1654588
16/02/2021 00:00;13.018.300.000;616879
15/02/2021 00:00;13.030.300.000;953125
14/02/2021 00:00;13.586.230.000;919313
13/02/2021 00:00;13.334.960.000;936880
12/02/2021 00:00;13.661.390.000;1155321
11/02/2021 00:00;12.408.500.000;1185612
10/02/2021 00:00;12.897.110.000;2836233
09/02/2021 00:00;10.734.690.000;1979175
08/02/2021 00:00;7.983.740.000;1279676
07/02/2021 00:00;6.835.420.000;851424
06/02/2021 00:00;7.283.560.000;1151480
05/02/2021 00:00;6.770.050.000;682891
04/02/2021 00:00;5.595.990.000;579484
03/02/2021 00:00;5.212.000.000;462818
02/02/2021 00:00;5.100.710.000;667934
01/02/2021 00:00;5.147.810.000;674212
31/01/2021 00:00;4.432.920.000;356678
30/01/2021 00:00;4.478.490.000;408399
29/01/2021 00:00;4.286.180.000;481047
28/01/2021 00:00;4.252.540.000;366517
27/01/2021 00:00;4.088.260.000;367923
26/01/2021 00:00;4.183.960.000;336515
25/01/2021 00:00;4.183.470.000;336526
24/01/2021 00:00;4.182.630.000;217223
23/01/2021 00:00;4.091.090.000;244514
22/01/2021 00:00;4.089.360.000;382460
21/01/2021 00:00;3.863.430.000;428440
20/01/2021 00:00;4.260.690.000;424497
19/01/2021 00:00;4.252.410.000;513040
18/01/2021 00:00;4.534.120.000;366780
17/01/2021 00:00;4.586.750.000;445985
16/01/2021 00:00;4.314.200.000;362622
15/01/2021 00:00;4.086.680.000;363002
14/01/2021 00:00;4.187.230.000;306640
13/01/2021 00:00;4.011.140.000;366040
12/01/2021 00:00;3.825.410.000;342953
11/01/2021 00:00;3.816.740.000;664128
10/01/2021 00:00;4.240.310.000;431771
09/01/2021 00:00;4.384.790.000;294683
08/01/2021 00:00;4.235.600.000;411558
07/01/2021 00:00;4.357.280.000;523288
06/01/2021 00:00;4.224.170.000;417519
05/01/2021 00:00;4.182.190.000;410985
04/01/2021 00:00;4.113.330.000;546562
03/01/2021 00:00;4.125.750.000;499815
02/01/2021 00:00;3.823.310.000;342120
01/01/2021 00:00;3.777.620.000;287020
31/12/2020 00:00;3.735.880.000;215191
30/12/2020 00:00;3.815.580.000;318773
29/12/2020 00:00;3.906.670.000;626216
28/12/2020 00:00;3.595.100.000;365388
27/12/2020 00:00;3.367.400.000;383603
26/12/2020 00:00;3.363.610.000;280678
25/12/2020 00:00;3.319.960.000;237471
24/12/2020 00:00;3.248.950.000;317894
23/12/2020 00:00;3.118.430.000;431164
22/12/2020 00:00;3.351.510.000;359713
21/12/2020 00:00;3.205.000.000;387995
20/12/2020 00:00;3.431.480.000;346574
19/12/2020 00:00;3.331.670.000;356909
18/12/2020 00:00;3.098.820.000;200766
17/12/2020 00:00;3.022.550.000;320109
16/12/2020 00:00;3.055.770.000;231879
15/12/2020 00:00;2.950.530.000;176586
14/12/2020 00:00;3.003.380.000;200800
13/12/2020 00:00;2.915.710.000;137327
12/12/2020 00:00;2.816.030.000;112495
11/12/2020 00:00;2.734.190.000;144598
10/12/2020 00:00;2.769.260.000;118644
09/12/2020 00:00;2.814.520.000;182482
08/12/2020 00:00;2.767.050.000;217658
07/12/2020 00:00;2.937.000.000;114943
06/12/2020 00:00;2.950.260.000;133765
05/12/2020 00:00;2.972.800.000;177713
04/12/2020 00:00;2.902.310.000;216245
03/12/2020 00:00;3.070.650.000;152875
02/12/2020 00:00;3.028.750.000;191861
01/12/2020 00:00;3.019.960.000;311551
30/11/2020 00:00;3.149.350.000;242039
29/11/2020 00:00;3.010.450.000;176612
28/11/2020 00:00;2.917.660.000;199459
27/11/2020 00:00;2.846.060.000;241590
26/11/2020 00:00;2.823.560.000;579228
25/11/2020 00:00;3.129.530.000;416580
24/11/2020 00:00;3.394.070.000;572451
23/11/2020 00:00;3.099.500.000;302496
22/11/2020 00:00;3.002.260.000;299851
21/11/2020 00:00;3.051.610.000;297019
20/11/2020 00:00;2.897.150.000;213320
19/11/2020 00:00;2.813.870.000;162787
18/11/2020 00:00;2.809.310.000;247361
17/11/2020 00:00;2.855.520.000;207380
16/11/2020 00:00;2.794.510.000;172529
15/11/2020 00:00;2.767.860.000;146356
14/11/2020 00:00;2.793.110.000;132361
13/11/2020 00:00;2.819.740.000;172193
12/11/2020 00:00;2.768.740.000;123738
11/11/2020 00:00;2.801.600.000;135668
10/11/2020 00:00;2.821.880.000;155588
09/11/2020 00:00;2.809.410.000;186163
08/11/2020 00:00;2.841.010.000;142614
07/11/2020 00:00;2.776.510.000;259798
06/11/2020 00:00;2.904.350.000;215395
05/11/2020 00:00;2.768.750.000;172414
04/11/2020 00:00;2.696.000.000;150959
03/11/2020 00:00;2.686.380.000;173479
02/11/2020 00:00;2.779.830.000;134858
01/11/2020 00:00;2.853.180.000;91856
31/10/2020 00:00;2.850.580.000;118556
30/10/2020 00:00;2.849.090.000;231147
29/10/2020 00:00;2.987.020.000;136168
28/10/2020 00:00;3.033.380.000;164283
27/10/2020 00:00;3.148.260.000;213681
