date;close;tradecount
18/04/2021 00:00;780.350.000;2909
17/04/2021 00:00;778.590.000;752516
16/04/2021 00:00;849.740.000;1196471
15/04/2021 00:00;788.730.000;400277
14/04/2021 00:00;766.520.000;1266962
13/04/2021 00:00;738.160.000;582937
12/04/2021 00:00;647.750.000;292040
11/04/2021 00:00;672.660.000;563849
10/04/2021 00:00;661.370.000;377802
09/04/2021 00:00;620.720.000;282193
08/04/2021 00:00;644.200.000;324839
07/04/2021 00:00;588.240.000;877827
06/04/2021 00:00;664.360.000;824943
05/04/2021 00:00;669.590.000;844888
04/04/2021 00:00;628.000.000;563238
03/04/2021 00:00;541.070.000;804628
02/04/2021 00:00;625.570.000;1037063
01/04/2021 00:00;559.470.000;974693
31/03/2021 00:00;480.210.000;518890
30/03/2021 00:00;433.610.000;185525
29/03/2021 00:00;427.850.000;211052
28/03/2021 00:00;411.060.000;159043
27/03/2021 00:00;409.120.000;186491
26/03/2021 00:00;418.490.000;276587
25/03/2021 00:00;367.450.000;299952
24/03/2021 00:00;369.380.000;268538
23/03/2021 00:00;408.990.000;377437
22/03/2021 00:00;407.770.000;371877
21/03/2021 00:00;415.360.000;359434
20/03/2021 00:00;432.780.000;288879
19/03/2021 00:00;413.750.000;353154
18/03/2021 00:00;414.340.000;229094
17/03/2021 00:00;408.670.000;271838
16/03/2021 00:00;406.610.000;342313
15/03/2021 00:00;381.690.000;190520
14/03/2021 00:00;392.560.000;440797
13/03/2021 00:00;428.160.000;245938
12/03/2021 00:00;378.280.000;242231
11/03/2021 00:00;395.320.000;233130
10/03/2021 00:00;399.100.000;218205
09/03/2021 00:00;416.730.000;268791
08/03/2021 00:00;389.810.000;174089
07/03/2021 00:00;383.100.000;116298
06/03/2021 00:00;372.070.000;153019
05/03/2021 00:00;369.040.000;218736
04/03/2021 00:00;374.830.000;249601
03/03/2021 00:00;382.580.000;350265
02/03/2021 00:00;367.100.000;202412
01/03/2021 00:00;370.490.000;170591
28/02/2021 00:00;347.650.000;240225
27/02/2021 00:00;367.150.000;309840
26/02/2021 00:00;354.770.000;275584
25/02/2021 00:00;367.110.000;333388
