date;close;tradecount
18/04/2021 00:00;231.323.000.000;6174
17/04/2021 00:00;231.760.000.000;1242299
16/04/2021 00:00;242.267.000.000;1679215
15/04/2021 00:00;251.404.000.000;1462768
14/04/2021 00:00;243.260.000.000;1554097
13/04/2021 00:00;229.919.000.000;1288668
12/04/2021 00:00;213.769.000.000;914567
11/04/2021 00:00;215.136.000.000;830771
10/04/2021 00:00;213.349.000.000;1175161
09/04/2021 00:00;206.687.000.000;645172
08/04/2021 00:00;208.046.000.000;911403
07/04/2021 00:00;196.347.000.000;1229155
06/04/2021 00:00;211.221.000.000;1106761
05/04/2021 00:00;210.738.000.000;947978
04/04/2021 00:00;207.569.000.000;818926
03/04/2021 00:00;200.852.000.000;1107620
02/04/2021 00:00;213.369.000.000;1218698
01/04/2021 00:00;196.805.000.000;994836
31/03/2021 00:00;191.937.000.000;1040362
30/03/2021 00:00;184.046.000.000;856093
29/03/2021 00:00;181.674.000.000;846836
28/03/2021 00:00;168.701.000.000;512231
27/03/2021 00:00;171.263.000.000;516929
26/03/2021 00:00;169.884.000.000;650812
25/03/2021 00:00;158.574.000.000;778215
24/03/2021 00:00;158.184.000.000;994542
23/03/2021 00:00;166.808.000.000;654415
22/03/2021 00:00;168.097.000.000;879976
21/03/2021 00:00;178.298.000.000;748800
20/03/2021 00:00;180.610.000.000;743672
19/03/2021 00:00;180.910.000.000;703977
18/03/2021 00:00;177.608.000.000;783517
17/03/2021 00:00;182.358.000.000;872416
16/03/2021 00:00;180.512.000.000;987906
15/03/2021 00:00;179.348.000.000;1496415
14/03/2021 00:00;184.810.000.000;963564
13/03/2021 00:00;192.235.000.000;1265904
12/03/2021 00:00;176.610.000.000;1126153
11/03/2021 00:00;182.578.000.000;1023958
10/03/2021 00:00;179.512.000.000;1098051
09/03/2021 00:00;187.051.000.000;1196670
08/03/2021 00:00;183.318.000.000;1407402
07/03/2021 00:00;172.616.000.000;1166072
06/03/2021 00:00;165.035.000.000;1188531
05/03/2021 00:00;152.831.000.000;1000913
04/03/2021 00:00;153.923.000.000;1125118
03/03/2021 00:00;156.769.000.000;1237215
02/03/2021 00:00;148.678.000.000;966176
01/03/2021 00:00;156.986.000.000;989006
28/02/2021 00:00;141.918.000.000;1190546
27/02/2021 00:00;145.813.000.000;954919
26/02/2021 00:00;144.459.000.000;1298739
25/02/2021 00:00;148.175.000.000;1110019
24/02/2021 00:00;162.339.000.000;1319936
23/02/2021 00:00;157.789.000.000;2396626
22/02/2021 00:00;177.758.000.000;1799926
21/02/2021 00:00;193.353.000.000;895138
20/02/2021 00:00;191.300.000.000;1329067
19/02/2021 00:00;195.500.000.000;988320
18/02/2021 00:00;193.961.000.000;1053661
17/02/2021 00:00;184.988.000.000;862461
16/02/2021 00:00;178.199.000.000;826125
15/02/2021 00:00;177.925.000.000;1086589
14/02/2021 00:00;180.042.000.000;714827
13/02/2021 00:00;181.496.000.000;853189
12/02/2021 00:00;184.026.000.000;996495
11/02/2021 00:00;178.562.000.000;935602
10/02/2021 00:00;174.078.000.000;1279140
09/02/2021 00:00;176.913.000.000;1173421
08/02/2021 00:00;175.015.000.000;1372788
07/02/2021 00:00;161.162.000.000;1263737
06/02/2021 00:00;167.635.000.000;1152167
05/02/2021 00:00;171.919.000.000;1326415
04/02/2021 00:00;159.567.000.000;1507993
03/02/2021 00:00;166.449.000.000;1384979
02/02/2021 00:00;151.187.000.000;1614541
01/02/2021 00:00;137.417.000.000;915584
31/01/2021 00:00;131.255.000.000;828176
30/01/2021 00:00;137.805.000.000;1013174
29/01/2021 00:00;137.950.000.000;1714076
28/01/2021 00:00;132.969.000.000;1275024
27/01/2021 00:00;123.903.000.000;1737296
26/01/2021 00:00;136.597.000.000;1423178
25/01/2021 00:00;131.788.000.000;1661512
24/01/2021 00:00;139.251.000.000;1313986
23/01/2021 00:00;123.360.000.000;932871
22/01/2021 00:00;123.262.000.000;1652010
21/01/2021 00:00;111.096.000.000;1823458
20/01/2021 00:00;137.699.000.000;1852253
19/01/2021 00:00;136.536.000.000;1840481
18/01/2021 00:00;125.845.000.000;940604
17/01/2021 00:00;123.245.000.000;1121278
16/01/2021 00:00;122.783.000.000;1252473
15/01/2021 00:00;116.853.000.000;1519266
14/01/2021 00:00;123.162.000.000;1255769
13/01/2021 00:00;112.989.000.000;1123983
12/01/2021 00:00;105.016.000.000;1516625
11/01/2021 00:00;108.701.000.000;2557613
10/01/2021 00:00;125.425.000.000;1437486
09/01/2021 00:00;127.600.000.000;1131871
08/01/2021 00:00;121.693.000.000;1718817
07/01/2021 00:00;122.487.000.000;1402699
06/01/2021 00:00;120.842.000.000;1600888
05/01/2021 00:00;109.956.000.000;1960503
04/01/2021 00:00;104.143.000.000;2477862
03/01/2021 00:00;97.828.000.000;1636501
02/01/2021 00:00;77.456.000.000;824134
01/01/2021 00:00;72.891.000.000;483671
31/12/2020 00:00;73.642.000.000;623216
30/12/2020 00:00;75.217.000.000;692405
29/12/2020 00:00;73.200.000.000;820504
28/12/2020 00:00;73.041.000.000;961277
27/12/2020 00:00;68.511.000.000;1047001
26/12/2020 00:00;63.744.000.000;541191
25/12/2020 00:00;62.682.000.000;468979
24/12/2020 00:00;61.231.000.000;571510
23/12/2020 00:00;58.556.000.000;733896
22/12/2020 00:00;63.645.000.000;522945
21/12/2020 00:00;60.758.000.000;521589
20/12/2020 00:00;63.818.000.000;505181
19/12/2020 00:00;65.803.000.000;562281
18/12/2020 00:00;65.385.000.000;554335
17/12/2020 00:00;64.270.000.000;974504
16/12/2020 00:00;63.718.000.000;589563
15/12/2020 00:00;58.864.000.000;329161
14/12/2020 00:00;58.629.000.000;272746
13/12/2020 00:00;59.070.000.000;359525
12/12/2020 00:00;56.804.000.000;321104
11/12/2020 00:00;54.443.000.000;400545
10/12/2020 00:00;55.899.000.000;376548
09/12/2020 00:00;57.309.000.000;535975
08/12/2020 00:00;55.494.000.000;422868
07/12/2020 00:00;59.128.000.000;347036
06/12/2020 00:00;60.154.000.000;363661
05/12/2020 00:00;59.680.000.000;389600
04/12/2020 00:00;56.724.000.000;556641
03/12/2020 00:00;61.585.000.000;513555
02/12/2020 00:00;59.689.000.000;604591
