date;close;tradecount
18/04/2021 00:00;30.134.000.000;3941
17/04/2021 00:00;30.086.000.000;1228519
16/04/2021 00:00;30.843.000.000;1289085
15/04/2021 00:00;28.563.000.000;685535
14/04/2021 00:00;27.886.000.000;748320
13/04/2021 00:00;26.759.000.000;767892
12/04/2021 00:00;24.442.000.000;467982
11/04/2021 00:00;25.231.000.000;872731
10/04/2021 00:00;25.634.000.000;649633
09/04/2021 00:00;22.112.000.000;339204
08/04/2021 00:00;22.611.000.000;443718
07/04/2021 00:00;21.905.000.000;906049
06/04/2021 00:00;23.704.000.000;999550
05/04/2021 00:00;22.148.000.000;578386
04/04/2021 00:00;20.221.000.000;279997
03/04/2021 00:00;19.523.000.000;454454
02/04/2021 00:00;21.146.000.000;417200
01/04/2021 00:00;20.286.000.000;376746
31/03/2021 00:00;19.670.000.000;333698
30/03/2021 00:00;19.574.000.000;422614
29/03/2021 00:00;19.373.000.000;617887
28/03/2021 00:00;18.424.000.000;185442
27/03/2021 00:00;18.406.000.000;215335
26/03/2021 00:00;18.345.000.000;294780
25/03/2021 00:00;17.153.000.000;360595
24/03/2021 00:00;17.605.000.000;759498
23/03/2021 00:00;18.583.000.000;294177
22/03/2021 00:00;18.567.000.000;392568
21/03/2021 00:00;19.531.000.000;242743
20/03/2021 00:00;20.017.000.000;215400
19/03/2021 00:00;19.996.000.000;252495
18/03/2021 00:00;19.970.000.000;321685
17/03/2021 00:00;20.598.000.000;377115
16/03/2021 00:00;20.160.000.000;673355
15/03/2021 00:00;20.059.000.000;664599
14/03/2021 00:00;21.394.000.000;544634
13/03/2021 00:00;22.606.000.000;628460
12/03/2021 00:00;22.084.000.000;917834
11/03/2021 00:00;20.136.000.000;462332
10/03/2021 00:00;20.029.000.000;530224
09/03/2021 00:00;20.381.000.000;522687
08/03/2021 00:00;19.185.000.000;505799
07/03/2021 00:00;19.075.000.000;315993
06/03/2021 00:00;18.285.000.000;441332
05/03/2021 00:00;18.023.000.000;410149
04/03/2021 00:00;18.067.000.000;595968
03/03/2021 00:00;18.764.000.000;875356
02/03/2021 00:00;17.908.000.000;431134
01/03/2021 00:00;17.589.000.000;379963
28/02/2021 00:00;16.522.000.000;505205
27/02/2021 00:00;17.176.000.000;399095
26/02/2021 00:00;17.025.000.000;787789
25/02/2021 00:00;17.936.000.000;702585
24/02/2021 00:00;18.143.000.000;551322
23/02/2021 00:00;17.734.000.000;879269
22/02/2021 00:00;20.832.000.000;722624
21/02/2021 00:00;22.713.000.000;547213
20/02/2021 00:00;22.665.000.000;694031
19/02/2021 00:00;23.650.000.000;572472
18/02/2021 00:00;22.659.000.000;703424
17/02/2021 00:00;23.749.000.000;741367
16/02/2021 00:00;21.026.000.000;582957
15/02/2021 00:00;20.783.000.000;683757
14/02/2021 00:00;21.349.000.000;796054
13/02/2021 00:00;22.576.000.000;857965
12/02/2021 00:00;19.669.000.000;593794
11/02/2021 00:00;18.362.000.000;505129
10/02/2021 00:00;18.156.000.000;921888
09/02/2021 00:00;18.149.000.000;602539
08/02/2021 00:00;16.728.000.000;517962
07/02/2021 00:00;15.076.000.000;393232
06/02/2021 00:00;15.557.000.000;508088
05/02/2021 00:00;15.505.000.000;373144
04/02/2021 00:00;14.507.000.000;476673
03/02/2021 00:00;15.593.000.000;506675
02/02/2021 00:00;14.198.000.000;497429
01/02/2021 00:00;13.200.000.000;318786
31/01/2021 00:00;12.936.000.000;274128
30/01/2021 00:00;13.336.000.000;384066
29/01/2021 00:00;13.465.000.000;675138
28/01/2021 00:00;13.327.000.000;388459
27/01/2021 00:00;12.244.000.000;438691
26/01/2021 00:00;13.467.000.000;348427
25/01/2021 00:00;13.707.000.000;410581
24/01/2021 00:00;14.101.000.000;278269
23/01/2021 00:00;13.767.000.000;364548
22/01/2021 00:00;13.766.000.000;686050
21/01/2021 00:00;12.972.000.000;614839
20/01/2021 00:00;14.969.000.000;621515
19/01/2021 00:00;15.186.000.000;772775
18/01/2021 00:00;15.196.000.000;458723
17/01/2021 00:00;14.280.000.000;431558
16/01/2021 00:00;14.352.000.000;540898
15/01/2021 00:00;14.365.000.000;651698
14/01/2021 00:00;15.250.000.000;558995
13/01/2021 00:00;14.738.000.000;591714
12/01/2021 00:00;13.342.000.000;705629
11/01/2021 00:00;13.887.000.000;1330771
10/01/2021 00:00;17.007.000.000;758526
09/01/2021 00:00;17.726.000.000;627933
08/01/2021 00:00;17.219.000.000;920205
07/01/2021 00:00;16.935.000.000;821999
06/01/2021 00:00;16.892.000.000;538480
05/01/2021 00:00;15.843.000.000;477603
04/01/2021 00:00;15.534.000.000;869279
03/01/2021 00:00;16.124.000.000;861814
02/01/2021 00:00;13.696.000.000;569576
01/01/2021 00:00;12.624.000.000;349403
31/12/2020 00:00;12.421.000.000;276558
30/12/2020 00:00;13.005.000.000;433275
29/12/2020 00:00;12.880.000.000;395856
28/12/2020 00:00;12.983.000.000;441642
27/12/2020 00:00;12.788.000.000;620934
26/12/2020 00:00;12.961.000.000;532001
25/12/2020 00:00;12.778.000.000;517497
24/12/2020 00:00;11.113.000.000;439395
23/12/2020 00:00;10.245.000.000;666325
22/12/2020 00:00;11.432.000.000;479898
21/12/2020 00:00;10.445.000.000;401306
20/12/2020 00:00;11.458.000.000;513158
19/12/2020 00:00;11.985.000.000;489308
18/12/2020 00:00;10.934.000.000;569257
17/12/2020 00:00;10.101.000.000;605965
16/12/2020 00:00;9.294.000.000;299842
15/12/2020 00:00;8.132.000.000;228718
14/12/2020 00:00;8.235.000.000;174704
13/12/2020 00:00;8.228.000.000;188999
12/12/2020 00:00;7.667.000.000;127433
11/12/2020 00:00;7.220.000.000;171384
10/12/2020 00:00;7.470.000.000;107088
09/12/2020 00:00;7.741.000.000;184970
08/12/2020 00:00;7.676.000.000;217078
07/12/2020 00:00;8.337.000.000;194711
06/12/2020 00:00;8.355.000.000;139936
05/12/2020 00:00;8.314.000.000;183040
04/12/2020 00:00;7.952.000.000;233567
03/12/2020 00:00;8.900.000.000;299422
02/12/2020 00:00;8.890.000.000;348663
01/12/2020 00:00;8.508.000.000;538823
30/11/2020 00:00;8.765.000.000;301333
29/11/2020 00:00;7.891.000.000;229427
28/11/2020 00:00;7.270.000.000;181396
27/11/2020 00:00;6.915.000.000;213682
26/11/2020 00:00;7.100.000.000;422548
25/11/2020 00:00;8.175.000.000;212329
24/11/2020 00:00;8.925.000.000;353058
23/11/2020 00:00;8.903.000.000;289664
22/11/2020 00:00;8.287.000.000;238468
21/11/2020 00:00;8.714.000.000;297869
20/11/2020 00:00;8.253.000.000;331704
19/11/2020 00:00;8.153.000.000;385582
18/11/2020 00:00;7.342.000.000;286533
17/11/2020 00:00;7.632.000.000;366969
16/11/2020 00:00;7.384.000.000;291414
15/11/2020 00:00;6.228.000.000;87860
14/11/2020 00:00;6.385.000.000;163536
13/11/2020 00:00;6.596.000.000;257296
12/11/2020 00:00;6.072.000.000;87671
11/11/2020 00:00;5.927.000.000;83030
10/11/2020 00:00;5.793.000.000;70862
09/11/2020 00:00;5.923.000.000;97529
08/11/2020 00:00;6.102.000.000;76411
07/11/2020 00:00;5.890.000.000;172494
06/11/2020 00:00;6.320.000.000;177692
05/11/2020 00:00;5.895.000.000;135925
04/11/2020 00:00;5.467.000.000;71359
03/11/2020 00:00;5.396.000.000;64468
02/11/2020 00:00;5.380.000.000;61578
01/11/2020 00:00;5.560.000.000;34500
31/10/2020 00:00;5.572.000.000;57738
30/10/2020 00:00;5.401.000.000;63397
29/10/2020 00:00;5.487.000.000;68890
28/10/2020 00:00;5.577.000.000;116245
27/10/2020 00:00;5.791.000.000;78399
26/10/2020 00:00;5.682.000.000;89363
25/10/2020 00:00;5.884.000.000;89548
24/10/2020 00:00;5.923.000.000;87804
23/10/2020 00:00;5.542.000.000;91699
22/10/2020 00:00;5.435.000.000;122481
21/10/2020 00:00;5.298.000.000;138648
20/10/2020 00:00;4.688.000.000;39816
19/10/2020 00:00;4.799.000.000;33495
18/10/2020 00:00;4.754.000.000;18535
17/10/2020 00:00;4.693.000.000;26798
16/10/2020 00:00;4.760.000.000;66327
15/10/2020 00:00;4.953.000.000;36449
14/10/2020 00:00;4.979.000.000;40356
13/10/2020 00:00;4.989.000.000;43960
12/10/2020 00:00;5.058.000.000;58695
11/10/2020 00:00;5.048.000.000;43519
10/10/2020 00:00;4.888.000.000;49531
09/10/2020 00:00;4.778.000.000;39974
08/10/2020 00:00;4.721.000.000;40934
07/10/2020 00:00;4.655.000.000;37381
06/10/2020 00:00;4.599.000.000;54752
05/10/2020 00:00;4.634.000.000;27061
04/10/2020 00:00;4.669.000.000;23414
03/10/2020 00:00;4.551.000.000;20596
02/10/2020 00:00;4.488.000.000;45906
01/10/2020 00:00;4.625.000.000;61223
30/09/2020 00:00;4.624.000.000;25914
29/09/2020 00:00;4.569.000.000;24712
28/09/2020 00:00;4.523.000.000;41300
27/09/2020 00:00;4.605.000.000;28584
26/09/2020 00:00;4.603.000.000;24117
25/09/2020 00:00;4.602.000.000;40013
24/09/2020 00:00;4.492.000.000;37560
23/09/2020 00:00;4.296.000.000;40774
22/09/2020 00:00;4.447.000.000;30283
21/09/2020 00:00;4.316.000.000;67893
20/09/2020 00:00;4.709.000.000;32523
19/09/2020 00:00;4.852.000.000;20442
18/09/2020 00:00;4.854.000.000;29396
17/09/2020 00:00;4.885.000.000;37509
16/09/2020 00:00;4.776.000.000;39278
15/09/2020 00:00;4.831.000.000;55967
